"gene_id","gene_version","gene_name","gene_biotype","gene_source","location","chromosome","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000166710",20,"B2M","protein_coding","ensembl_havana","chr15:44711487-44718877:+","15",0.483234767570391,13.153013843346,4.50398883415901,0.00722817932463893,0.779349805035616,-3.63634725163718
"ENSG00000234745",11,"HLA-B","protein_coding","ensembl_havana","chr6:31269491-31357188:-","6",0.813801371586976,11.4393842963685,6.309129004439,0.00178070754647248,0.779349805035616,-3.74540554391572
"ENSG00000142089",16,"IFITM3","protein_coding","ensembl_havana","chr11:319676-327537:-","11",1.26689329819715,11.1660340962189,5.61078439942083,0.00293663669792858,0.779349805035616,-3.80981907136844
"ENSG00000204525",16,"HLA-C","protein_coding","ensembl_havana","chr6:31268749-31272130:-","6",0.796896433755268,10.7217519873024,5.99761167084534,0.0022130640095336,0.779349805035616,-3.85792936333391
"ENSG00000204592",9,"HLA-E","protein_coding","ensembl_havana","chr6:30489509-30494194:+","6",0.74057226740451,10.7691577901271,4.81890201288747,0.00551053876176785,0.779349805035616,-3.92340417424491
"ENSG00000206503",13,"HLA-A","protein_coding","ensembl_havana","chr6:29941260-29945884:+","6",0.527033787677773,11.0646938707977,3.96642435608426,0.0118490797325703,0.779349805035616,-3.96233966408884
"ENSG00000185201",16,"IFITM2","protein_coding","ensembl_havana","chr11:307631-315272:+","11",0.965024494666088,9.68276276757535,5.90406735338183,0.0023665393549172,0.779349805035616,-3.98479635779378
"ENSG00000108679",13,"LGALS3BP","protein_coding","ensembl_havana","chr17:78971238-78979947:-","17",0.816155843435886,10.2766743638764,3.98434263933357,0.0116476881066577,0.779349805035616,-4.04311238813004
"ENSG00000182054",10,"IDH2","protein_coding","ensembl_havana","chr15:90083045-90102477:-","15",0.683696710604197,9.42923448936503,4.5020288163397,0.00724069009841107,0.779349805035616,-4.08518008202475
"ENSG00000110955",9,"ATP5F1B","protein_coding","ensembl_havana","chr12:56638175-56645984:-","12",0.478999883936778,11.0122387528869,2.91058420308323,0.0355263871265122,0.779349805035616,-4.12748620195672
"ENSG00000281383",1,"FP671120.8","lncRNA","havana","chr21:8254592-8255514:-","21",0.194334315201114,15.0933364571217,2.12309656979319,0.0901373168037277,0.779349805035616,-4.12901561742306
"ENSG00000025708",14,"TYMP","protein_coding","ensembl_havana","chr22:50525752-50530032:-","22",0.803382512318457,8.60911449189843,5.07336900790928,0.00446606695265855,0.779349805035616,-4.13175440280506
"ENSG00000080824",19,"HSP90AA1","protein_coding","ensembl_havana","chr14:102080742-102139699:-","14",0.44657838879688,9.92613926633829,3.44760842536695,0.0198813688286021,0.779349805035616,-4.13463084541492
"ENSG00000210082",2,"MT-RNR2","Mt_rRNA","insdc","chrM:1671-3229:+","M",0.433883443131696,14.1919559609893,2.15287213601865,0.086890278677248,0.779349805035616,-4.14173937515631
"ENSG00000168003",16,"SLC3A2","protein_coding","ensembl_havana","chr11:62856102-62888875:+","11",0.719977829504619,9.09306965543915,4.14156937155564,0.0100413038435436,0.779349805035616,-4.14417926161865
"ENSG00000176046",9,"NUPR1","protein_coding","ensembl_havana","chr16:28532708-28539008:-","16",1.11995906138687,8.53414027540408,4.69266916684224,0.00613424214598799,0.779349805035616,-4.14578131070253
"ENSG00000185885",16,"IFITM1","protein_coding","ensembl_havana","chr11:313506-315272:+","11",2.24561960142648,8.74157652304747,4.23255599063349,0.00922998272608267,0.779349805035616,-4.15126343212505
"ENSG00000266412",5,"NCOA4","protein_coding","ensembl_havana","chr10:46005088-46030714:-","10",-1.18083858382052,8.09621093239513,-6.91852413644869,0.00119268045957269,0.779349805035616,-4.15227074362908
"ENSG00000132693",12,"CRP","protein_coding","ensembl_havana","chr1:159712289-159714589:-","1",-0.462953261624378,10.8335294562706,-2.80424887273929,0.0400723059764852,0.779349805035616,-4.15440286079664
"ENSG00000132475",10,"H3-3B","protein_coding","ensembl_havana","chr17:75776434-75785893:-","17",0.367229274521983,10.6445025216338,2.81536319942599,0.0395678469196691,0.779349805035616,-4.16542410649103
"ENSG00000131669",10,"NINJ1","protein_coding","ensembl_havana","chr9:93121496-93134251:-","9",0.703059670611196,8.4169109498514,4.48044323555067,0.00738016254405856,0.779349805035616,-4.1765370332926
"ENSG00000138674",17,"SEC31A","protein_coding","ensembl_havana","chr4:82818509-82901166:-","4",-1.00326588456973,8.1780516953072,-5.17305013259348,0.00412181124651688,0.779349805035616,-4.17952261543005
"ENSG00000169429",11,"CXCL8","protein_coding","ensembl_havana","chr4:73740541-73743716:+","4",-0.38591356553182,10.8832634583371,-2.63180882316424,0.0488955234050528,0.779349805035616,-4.18084051417011
"ENSG00000100911",16,"PSME2","protein_coding","ensembl_havana","chr14:24143362-24147570:-","14",0.991062547029239,7.81730849432294,6.0769982686388,0.00209202181647217,0.779349805035616,-4.18313964334595
"ENSG00000115221",12,"ITGB6","protein_coding","ensembl_havana","chr2:160099667-160200313:-","2",-0.855892714089342,7.99885977622141,-4.89404888405832,0.00517469410618099,0.779349805035616,-4.19409428981042
"ENSG00000001626",16,"CFTR","protein_coding","ensembl_havana","chr7:117287120-117715971:+","7",-0.594496665240502,8.91315582435668,-3.67789759333438,0.0157200263991374,0.779349805035616,-4.19507747544608
"ENSG00000206341",7,"HLA-H","unprocessed_pseudogene","havana","chr6:29887752-29890482:+","6",0.674324328267789,8.61459436312097,3.79007543146483,0.0140626973034959,0.779349805035616,-4.19973195922245
"ENSG00000130066",16,"SAT1","protein_coding","ensembl_havana","chrX:23783173-23786226:+","X",0.248779091984209,12.3787341233715,2.22093495114897,0.0799297711388404,0.779349805035616,-4.2041282961673
"ENSG00000090273",14,"NUDC","protein_coding","ensembl_havana","chr1:26900238-26946871:+","1",0.650172983548424,8.57219711492515,3.85133973419534,0.0132433153009124,0.779349805035616,-4.20726288124719
