"gene_id","gene_version","gene_name","gene_biotype","gene_source","location","chromosome","logFC","logCPM","F","PValue","FDR"
"ENSG00000169248",13,"CXCL11","protein_coding","ensembl_havana","chr4:76033682-76041415:-","4",6.90854416942373,6.1511803886069,106.309131443131,0.000426607058434031,0.642179412659957
"ENSG00000197632",9,"SERPINB2","protein_coding","ensembl_havana","chr18:63871692-63903888:+","18",-1.67621448325822,6.7558388788921,41.2897211971363,0.000658939599348762,0.642179412659957
"ENSG00000169245",6,"CXCL10","protein_coding","ensembl_havana","chr4:76021118-76023497:-","4",8.33555778404995,7.06736727406316,76.3747475647355,0.000694099058265419,0.642179412659957
"ENSG00000111335",13,"OAS2","protein_coding","ensembl_havana","chr12:112978395-113011723:+","12",10.9622163880075,5.12099607779316,46.3758841889707,0.00108874081453349,0.642179412659957
"ENSG00000266412",5,"NCOA4","protein_coding","ensembl_havana","chr10:46005088-46030714:-","10",-1.15651969492764,8.20774460123339,31.6039569235227,0.00133205165056868,0.642179412659957
"ENSG00000165949",12,"IFI27","protein_coding","ensembl_havana","chr14:94104836-94116698:+","14",4.21814240329971,6.54471060195701,30.9787801149115,0.00140049108352437,0.642179412659957
"ENSG00000142089",16,"IFITM3","protein_coding","ensembl_havana","chr11:319676-327537:-","11",1.25830719017783,11.293714338674,30.9252086872831,0.0014089284367702,0.642179412659957
"ENSG00000234745",11,"HLA-B","protein_coding","ensembl_havana","chr6:31269491-31357188:-","6",0.817618910609457,11.4963532982564,28.1668079760989,0.00179037457993118,0.642179412659957
"ENSG00000132530",17,"XAF1","protein_coding","ensembl_havana","chr17:6755447-6775647:+","17",10.5994320491505,1.89428404808629,27.8521062613412,0.00192835331852581,0.642179412659957
"ENSG00000068079",8,"IFI35","protein_coding","ensembl_havana","chr17:43006740-43014456:+","17",1.91945195809755,6.93798631020745,26.673537203473,0.00205612035222223,0.642179412659957
"ENSG00000272077",1,"AC124045.1","lncRNA","havana","chr3:44667412-44669364:+","3",-9.54386924072028,0.651629942424565,26.6186475465844,0.00234867470416698,0.642179412659957
"ENSG00000204525",16,"HLA-C","protein_coding","ensembl_havana","chr6:31268749-31272130:-","6",0.806058867321624,10.7683604813839,25.2869731149971,0.00235091058131609,0.642179412659957
"ENSG00000185201",16,"IFITM2","protein_coding","ensembl_havana","chr11:307631-315272:+","11",0.943607485176158,9.75598191317166,25.0270315857956,0.00241246626307968,0.642179412659957
"ENSG00000169660",16,"HEXD","protein_coding","ensembl_havana","chr17:82418318-82442645:+","17",3.44154535038215,2.35786144949991,20.374115817782,0.00253034730916078,0.642179412659957
"ENSG00000196588",19,"MRTFA","protein_coding","ensembl_havana","chr22:40410281-40636719:-","22",1.09749389191462,7.75229035806385,24.254590355239,0.00260864272519688,0.642179412659957
"ENSG00000100911",16,"PSME2","protein_coding","ensembl_havana","chr14:24143362-24147570:-","14",0.990510949911296,7.88235057090275,23.6600714755747,0.00277428061317361,0.642179412659957
"ENSG00000198932",13,"GPRASP1","protein_coding","ensembl_havana","chrX:102651092-102659083:+","X",11.1277114148309,2.8700139173915,29.8531719369609,0.00278642124485368,0.642179412659957
"ENSG00000107036",12,"RIC1","protein_coding","ensembl_havana","chr9:5629025-5776557:+","9",-3.02693776826015,3.61487273437761,23.326492695899,0.00279421625233043,0.642179412659957
"ENSG00000183486",13,"MX2","protein_coding","ensembl_havana","chr21:41361999-41409393:+","21",4.47287863993318,5.65450713111772,24.9947310935826,0.00282250851063028,0.642179412659957
"ENSG00000173083",15,"HPSE","protein_coding","ensembl_havana","chr4:83292461-83335153:-","4",9.86610697959765,1.22348714162257,24.8531585623175,0.00288644751418951,0.642179412659957
"ENSG00000272323",1,"AC026801.2","lncRNA","havana","chr5:34837549-34839278:-","5",10.9613627462733,1.968187473221,25.0841507121102,0.00290541266922536,0.642179412659957
"ENSG00000247011",2,"AC005920.1","lncRNA","havana","chr17:50934989-50944713:-","17",6.90701570997859,0.922659377255877,20.9661035670842,0.00296922567494102,0.642179412659957
"ENSG00000228526",7,"MIR34AHG","lncRNA","havana","chr1:9148011-9198906:-","1",3.96960953304443,3.80311769639388,20.3038339272706,0.00323037206382362,0.642179412659957
"ENSG00000233184",7,"AC093157.1","lncRNA","havana","chr1:101025844-101090513:+","1",-5.0464078807135,0.986436542151915,18.8706849234059,0.00323090686740613,0.642179412659957
"ENSG00000146670",10,"CDCA5","protein_coding","ensembl_havana","chr11:65066300-65084164:-","11",7.84429829258306,1.73357497755209,22.5605510009621,0.00328321009416532,0.642179412659957
"ENSG00000188283",11,"ZNF383","protein_coding","ensembl_havana","chr19:37217926-37248738:+","19",5.77494681637867,3.12519541925031,20.6209143908821,0.00329589153514728,0.642179412659957
"ENSG00000161133",16,"USP41","protein_coding","ensembl_havana","chr22:20350578-20390758:-","22",3.88460962575358,2.82854073897713,17.806003924804,0.00334969965888252,0.642179412659957
"ENSG00000184304",16,"PRKD1","protein_coding","ensembl_havana","chr14:29576479-30191898:-","14",-3.79621118284698,1.24377815583453,16.6787044187672,0.00337013907993959,0.642179412659957
"ENSG00000137959",16,"IFI44L","protein_coding","ensembl_havana","chr1:78619922-78646145:+","1",3.85847967951909,5.1962703976264,16.8358850366911,0.00337503650546074,0.642179412659957
"ENSG00000130699",18,"TAF4","protein_coding","ensembl_havana","chr20:61953469-62065810:-","20",8.6306061707469,0.201188458446823,20.7350650860371,0.00340389133644725,0.642179412659957
"ENSG00000144331",20,"ZNF385B","protein_coding","ensembl_havana","chr2:179441982-179861612:-","2",6.41351549759864,1.81632861025917,20.250379034029,0.00348169076521732,0.642179412659957
"ENSG00000178385",15,"PLEKHM3","protein_coding","ensembl_havana","chr2:207821288-208025527:-","2",-4.09459494339149,3.57281977947481,20.6035526411139,0.00352862714391433,0.642179412659957
"ENSG00000230461",9,"PROX1-AS1","lncRNA","havana","chr1:213817751-213988508:-","1",6.5616064189896,0.293920983399555,21.4452556924597,0.00357412044496676,0.642179412659957
"ENSG00000213275",2,"IFITM9P","processed_pseudogene","havana","chr11:69303412-69303807:-","11",1.57256585587504,5.33455898042049,21.284703275515,0.00359807539094741,0.642179412659957
"ENSG00000168280",17,"KIF5C","protein_coding","ensembl_havana","chr2:148875227-149026759:+","2",4.90717022462387,2.17011883100692,20.9150874376736,0.00366476704867698,0.642179412659957
"ENSG00000169372",13,"CRADD","protein_coding","ensembl_havana","chr12:93677375-93894840:+","12",-1.98841739150967,4.60864483127002,21.0699994262131,0.00370344649043105,0.642179412659957
"ENSG00000279838",1,"AL356273.6","TEC","havana","chr1:185292384-185294372:-","1",7.76604934192264,1.3390820266782,23.1682727882209,0.00379571296886291,0.642179412659957
"ENSG00000172016",16,"REG3A","protein_coding","ensembl_havana","chr2:79157003-79159753:-","2",-1.43771688782164,6.36701162100459,20.7055537169798,0.00385177876272055,0.642179412659957
"ENSG00000185885",16,"IFITM1","protein_coding","ensembl_havana","chr11:313506-315272:+","11",2.22841523734202,9.26015624563858,19.9324403684338,0.00421298142850292,0.642179412659957
"ENSG00000168488",18,"ATXN2L","protein_coding","ensembl_havana","chr16:28823035-28837237:+","16",2.20314413311699,4.5089677081808,19.8113267193851,0.00429256407736449,0.642179412659957
"ENSG00000182405",6,"PGBD4","protein_coding","ensembl_havana","chr15:34102083-34108686:+","15",7.17729843810207,2.54751325490715,22.6419629315392,0.00431680467422735,0.642179412659957
"ENSG00000138674",17,"SEC31A","protein_coding","ensembl_havana","chr4:82818509-82901166:-","4",-0.982031716391659,8.23824614665141,19.6201351701076,0.00437528251423069,0.642179412659957
"ENSG00000257443",1,"AC068305.2","lncRNA","havana","chr12:58920639-59064238:+","12",-6.00961594837958,-0.203352692421696,18.6123006525307,0.00443947282187922,0.642179412659957
"ENSG00000185900",10,"POMK","protein_coding","ensembl_havana","chr8:43093506-43123434:+","8",4.4738857554009,3.65789672743272,17.4162819661196,0.00459947490652126,0.642179412659957
"ENSG00000198642",7,"KLHL9","protein_coding","havana","chr9:21329665-21335404:-","9",-1.51508993903979,5.42169986118474,18.7603588685263,0.00487019359477041,0.642179412659957
"ENSG00000156587",16,"UBE2L6","protein_coding","ensembl_havana","chr11:57551656-57568284:-","11",1.29266365163572,8.0456582388406,18.7303506516373,0.00488598543729508,0.642179412659957
"ENSG00000176046",9,"NUPR1","protein_coding","ensembl_havana","chr16:28532708-28539008:-","16",1.11631346732279,8.67514849783949,18.6859215590575,0.00491347141389124,0.642179412659957
"ENSG00000268119",6,"AC010615.2","lncRNA","havana","chr19:21444241-21463908:-","19",-4.02561626168206,1.75218168446957,14.8197607585758,0.00491542876989796,0.642179412659957
"ENSG00000213888",3,"LINC01521","lncRNA","ensembl_havana","chr22:31346777-31348719:+","22",5.40113156584295,0.9502616613275,18.4126528838009,0.00497706371862583,0.642179412659957
"ENSG00000118200",14,"CAMSAP2","protein_coding","ensembl_havana","chr1:200739558-200860704:+","1",-4.26567044424539,3.00052935034463,16.1505341055789,0.00498106484407182,0.642179412659957
"ENSG00000172006",12,"ZNF554","protein_coding","ensembl_havana","chr19:2819868-2836735:+","19",4.80858253025679,1.75871635395617,15.7929442409414,0.00500728605252907,0.642179412659957
"ENSG00000142627",13,"EPHA2","protein_coding","ensembl_havana","chr1:16124337-16156069:-","1",-1.22976369170011,5.83921054942608,18.3768075707452,0.00511220519232604,0.642179412659957
"ENSG00000151914",20,"DST","protein_coding","ensembl_havana","chr6:56457987-56954649:-","6",-1.18288209241395,6.65740705349352,18.3653557693493,0.00511907201030207,0.642179412659957
"ENSG00000130303",13,"BST2","protein_coding","ensembl_havana","chr19:17402939-17405630:-","19",2.58967326261182,7.5109434789779,18.2713869618155,0.00518117195000036,0.642179412659957
