"gene_id","gene_version","gene_name","gene_biotype","gene_source","location","chromosome","logFC","logCPM","LR","PValue","FDR"
"ENSG00000111335",13,"OAS2","protein_coding","ensembl_havana","chr12:112978395-113011723:+","12",10.2894657282679,5.11865263574845,32.5336394170898,1.17147158802179e-08,0.000115057791039007
"ENSG00000198932",13,"GPRASP1","protein_coding","ensembl_havana","chrX:102651092-102659083:+","X",11.0317857227506,2.8692323401266,32.3905586535075,1.26097639365452e-08,0.000115057791039007
"ENSG00000175445",17,"LPL","protein_coding","ensembl_havana","chr8:19901717-19967259:+","8",11.3740367518247,2.49162701078328,21.8088061676085,3.01214465906418e-06,0.0183228759610874
"ENSG00000272323",1,"AC026801.2","lncRNA","havana","chr5:34837549-34839278:-","5",10.7352178270222,1.96655055675586,21.1407783599357,4.26749811740769e-06,0.0194693932861432
"ENSG00000197632",9,"SERPINB2","protein_coding","ensembl_havana","chr18:63871692-63903888:+","18",-1.6690048928515,6.75564477982779,20.074797420712,7.44716052134538e-06,0.0261794063457552
"ENSG00000165949",12,"IFI27","protein_coding","ensembl_havana","chr14:94104836-94116698:+","14",3.83109214139582,6.54257113981315,19.7979710256259,8.60739975201551e-06,0.0261794063457552
"ENSG00000169248",13,"CXCL11","protein_coding","ensembl_havana","chr4:76033682-76041415:-","4",6.03010858075687,6.14867377925935,18.854542590967,1.41074733951703e-05,0.036778183141209
"ENSG00000132530",17,"XAF1","protein_coding","ensembl_havana","chr17:6755447-6775647:+","17",10.2404534723511,1.89269586553539,18.1232954351023,2.07052780392959e-05,0.0472313273673889
"ENSG00000173083",15,"HPSE","protein_coding","ensembl_havana","chr4:83292461-83335153:-","4",9.78989603088378,1.22256162226015,17.5133661292108,2.85294948560061e-05,0.0578483057363617
"ENSG00000278206",1,"AL031320.2","lncRNA","havana","chr6:143484979-143507327:+","6",9.39544090626327,1.05836007165141,16.3395396385003,5.29476004723781e-05,0.0898647710421558
"ENSG00000068079",8,"IFI35","protein_coding","ensembl_havana","chr17:43006740-43014456:+","17",1.88906527773875,6.93694391037806,16.2963554151232,5.41680355890029e-05,0.0898647710421558
"ENSG00000280670",3,"CCDC163","protein_coding","havana","chr1:45493866-45500079:-","1",9.66573653089083,1.12107245980199,15.6644175782007,7.56337839483209e-05,0.115020076939409
"ENSG00000111331",13,"OAS3","protein_coding","ensembl_havana","chr12:112938444-112973251:+","12",3.3512475039825,7.34890010452593,15.0753798731029,0.000103301861121333,0.145011974123324
"ENSG00000185885",16,"IFITM1","protein_coding","ensembl_havana","chr11:313506-315272:+","11",2.22467918789338,9.25908480623756,14.7703080174799,0.000121432581256963,0.149567065014073
"ENSG00000130303",13,"BST2","protein_coding","ensembl_havana","chr19:17402939-17405630:-","19",2.58909942933917,7.50982118491792,14.7470677427712,0.000122938570618176,0.149567065014073
"ENSG00000272077",1,"AC124045.1","lncRNA","havana","chr3:44667412-44669364:+","3",-9.54396829833442,0.651456782924545,14.5942716611719,0.000133319191894984,0.152058870805723
"ENSG00000182405",6,"PGBD4","protein_coding","ensembl_havana","chr15:34102083-34108686:+","15",6.39098244976507,2.54648832091042,14.4576575034197,0.00014334587769364,0.153877583648896
"ENSG00000286828",1,"AC008883.3","lncRNA","havana_tagene","chr5:97183827-97216074:+","5",10.0473466671361,1.1244649937412,14.2946375120091,0.0001563095365024,0.158471818424016
"ENSG00000236204",6,"LINC01376","lncRNA","havana","chr2:18986451-19348067:-","2",-9.50652233838129,0.910800972143241,14.1533080144945,0.000168500566076798,0.161840359491341
"ENSG00000102466",15,"FGF14","protein_coding","ensembl_havana","chr13:101710804-102402457:-","13",9.34474790012467,0.725490512899687,13.92454409854,0.00019029726038774,0.173636735240793
"ENSG00000187672",13,"ERC2","protein_coding","ensembl_havana","chr3:55508311-56468467:-","3",7.22974039243963,1.73831913824934,13.7235074550696,0.000211786997683482,0.184042900986946
"ENSG00000187608",10,"ISG15","protein_coding","ensembl_havana","chr1:1001138-1014540:+","1",3.6903190252882,8.2077724779479,13.5153645403407,0.000236618163256672,0.196274766421409
"ENSG00000126709",15,"IFI6","protein_coding","ensembl_havana","chr1:27666064-27672198:-","1",3.20118915313998,8.70960448350245,13.0888575926666,0.000297057459450555,0.23245883262984
"ENSG00000108352",12,"RAPGEFL1","protein_coding","ensembl_havana","chr17:40177010-40195656:+","17",-8.55327435059224,-0.324812209783904,13.0350440213225,0.000305716038309834,0.23245883262984
"ENSG00000142089",16,"IFITM3","protein_coding","ensembl_havana","chr11:319676-327537:-","11",1.25716614253111,11.2934606181472,12.8089269118218,0.000344969377022152,0.25181384645109
"ENSG00000185352",8,"HS6ST3","protein_coding","ensembl_havana","chr13:96090839-96839562:+","13",9.22752041409903,1.34850386653096,12.5699905950602,0.000391990551798546,0.262932593692038
"ENSG00000262406",3,"MMP12","protein_coding","ensembl_havana","chr11:102862736-102874982:-","11",-8.59648797224316,0.520871973839986,12.5403084363176,0.000398266555977809,0.262932593692038
"ENSG00000130699",18,"TAF4","protein_coding","ensembl_havana","chr20:61953469-62065810:-","20",8.41283117711631,0.200293928112159,12.4588668619254,0.000416012242067564,0.262932593692038
"ENSG00000256981",1,"AC134349.2","unprocessed_pseudogene","havana","chr12:11158785-11159694:-","12",-8.39890516467958,-0.432202206817296,12.4507071708076,0.000417833591817037,0.262932593692038
"ENSG00000266412",5,"NCOA4","protein_coding","ensembl_havana","chr10:46005088-46030714:-","10",-1.15340452400553,8.20773770248783,12.2386687212431,0.000468092150350808,0.284740455058397
"ENSG00000172016",16,"REG3A","protein_coding","ensembl_havana","chr2:79157003-79159753:-","2",-1.41568995659373,6.36796818814408,12.0585855321395,0.000515543941197407,0.289081489925316
"ENSG00000169245",6,"CXCL10","protein_coding","ensembl_havana","chr4:76021118-76023497:-","4",6.38511005552293,7.06486558522148,12.0576889136311,0.000515791961041269,0.289081489925316
"ENSG00000157150",5,"TIMP4","protein_coding","ensembl_havana","chr3:12153068-12158912:-","3",9.115082313018,0.156220101758115,12.0327058734159,0.000522751338020463,0.289081489925316
"ENSG00000172955",17,"ADH6","protein_coding","ensembl_havana","chr4:99202638-99219537:-","4",8.13584243989982,1.04182575231565,11.8766663527226,0.000568415906822293,0.305088878929413
"ENSG00000173567",15,"ADGRF3","protein_coding","ensembl_havana","chr2:26308173-26346817:-","2",9.14084770346696,0.21451663372588,11.4568070669809,0.000712325861267041,0.353145140483737
"ENSG00000163915",7,"IGF2BP2-AS1","lncRNA","havana","chr3:185712528-185729787:+","3",9.80317591463811,0.939404354743608,11.4187880379839,0.000727051072562425,0.353145140483737
"ENSG00000104415",14,"CCN4","protein_coding","ensembl_havana","chr8:133191039-133231690:+","8",10.3336940047884,0.897592680073686,11.4084730201773,0.000731098977837549,0.353145140483737
"ENSG00000247011",2,"AC005920.1","lncRNA","havana","chr17:50934989-50944713:-","17",6.98490624634664,0.921719286849071,11.3976866759228,0.000735356202442984,0.353145140483737
"ENSG00000146670",10,"CDCA5","protein_coding","ensembl_havana","chr11:65066300-65084164:-","11",6.89598489567318,1.73245180622028,11.3121319009763,0.000770023099968099,0.360311578238919
"ENSG00000186818",12,"LILRB4","protein_coding","ensembl_havana","chr19:54643889-54670359:+","19",9.27079786642236,0.513049222097059,11.2003420088795,0.000817822572920954,0.373111103330862
"ENSG00000228526",7,"MIR34AHG","lncRNA","havana","chr1:9148011-9198906:-","1",4.31551567121776,3.80336635724053,11.1275274572879,0.00085055896660444,0.378581721501571
"ENSG00000256262",1,"USP30-AS1","lncRNA","havana","chr12:109052350-109053952:-","12",7.66377940249455,-0.310603080165423,10.9410602639279,0.000940563301465182,0.399256697943253
"ENSG00000119403",15,"PHF19","protein_coding","ensembl_havana","chr9:120855651-120894896:-","9",8.27279210142838,0.119607283484578,10.9366708854024,0.000942794214208697,0.399256697943253
"ENSG00000175820",4,"CCDC168","protein_coding","havana","chr13:102729367-102759072:-","13",-8.97340724635631,0.0169125465149591,10.7879221417529,0.00102164497587723,0.399256697943253
"ENSG00000168488",18,"ATXN2L","protein_coding","ensembl_havana","chr16:28823035-28837237:+","16",2.21378494786992,4.50867847167018,10.7833467053694,0.00102417339517835,0.399256697943253
"ENSG00000189419",8,"SPATA41","lncRNA","havana","chr15:100344047-100350725:-","15",-9.20554300043199,0.271566346167407,10.7811563563127,0.00102538603694249,0.399256697943253
"ENSG00000233509",2,"ZNF197-AS1","lncRNA","havana","chr3:44617128-44624797:-","3",7.56401409650563,-0.332610247523857,10.7759413369701,0.00102827907300854,0.399256697943253
"ENSG00000213275",2,"IFITM9P","processed_pseudogene","havana","chr11:69303412-69303807:-","11",1.57390806108371,5.334657278472,10.5194075984702,0.00118127346166765,0.441007526194252
"ENSG00000253741",2,"LNCOC1","lncRNA","havana_tagene","chr8:142701857-142727016:-","8",-7.23195696546812,-0.605726106397764,10.485975949705,0.00120284063190586,0.441007526194252
"ENSG00000112787",13,"FBRSL1","protein_coding","ensembl_havana","chr12:132489551-132585188:+","12",9.19334315301329,0.720888599620501,10.4685069832856,0.00121426813648038,0.441007526194252
"ENSG00000229852",4,"AC019205.1","lncRNA","havana","chr6:73263212-73301789:+","6",7.52720046985459,-0.584780139270621,10.3726251037863,0.00127897561899451,0.441007526194252
"ENSG00000146433",8,"TMEM181","protein_coding","ensembl_havana","chr6:158536436-158635428:+","6",-1.6727018684615,6.03688565656572,10.3534830109688,0.00129230619849403,0.441007526194252
"ENSG00000222020",3,"HDAC4-AS1","lncRNA","havana","chr2:239401436-239402364:+","2",7.32246022082513,-0.731877952714275,10.3249833737352,0.0013124144245815,0.441007526194252
"ENSG00000196588",19,"MRTFA","protein_coding","ensembl_havana","chr22:40410281-40636719:-","22",1.09760092594689,7.75247309165126,10.315711836537,0.00131902409972994,0.441007526194252
"ENSG00000156587",16,"UBE2L6","protein_coding","ensembl_havana","chr11:57551656-57568284:-","11",1.28840628190483,8.04521603755512,10.3016174243084,0.00132913660697484,0.441007526194252
"ENSG00000213187",3,"COPS5P1","processed_pseudogene","havana","chr6:93091976-93092760:-","6",-8.88841311328791,-0.0366430853256721,10.2469921103596,0.00136907654320214,0.446038002928306
"ENSG00000225062",1,"CATIP-AS1","lncRNA","havana","chr2:218366665-218367835:-","2",7.84894603333121,-0.205462677079695,10.1981759720282,0.00140579635284497,0.446038002928306
"ENSG00000105894",12,"PTN","protein_coding","ensembl_havana","chr7:137227341-137343774:-","7",8.98245517209577,0.804193040355793,10.1827277115335,0.00141762311194267,0.446038002928306
"ENSG00000243232",6,"PCDHAC2","protein_coding","ensembl_havana","chr5:140966470-141012347:+","5",10.3832619348758,1.24837587746883,10.1053586655534,0.00147838817883412,0.454073649869225
"ENSG00000274317",2,"LINC02334","lncRNA","havana_tagene","chr13:37934298-38066444:+","13",-8.88876259631324,-0.015984725684258,10.044433291948,0.00152809004993219,0.454073649869225
"ENSG00000278570",5,"NR2E3","protein_coding","ensembl_havana","chr15:71792638-71818259:+","15",-8.77898284475393,0.0884396745459161,9.89196888079809,0.00166001660300389,0.454073649869225
"ENSG00000118308",15,"LRMP","protein_coding","ensembl_havana","chr12:25004342-25108334:+","12",7.50968036944608,-1.1012489159855,9.86677091323795,0.00168290611754157,0.454073649869225
"ENSG00000274210",1,"RNVU1-27","snRNA","ensembl","chr1:148522601-148522765:+","1",7.29998620939877,-0.462136143742724,9.84204412269517,0.00170567850507232,0.454073649869225
"ENSG00000152463",15,"OLAH","protein_coding","ensembl_havana","chr10:15032227-15073853:+","10",-10.1001957632594,0.886979019755386,9.82959797353396,0.00171725878932736,0.454073649869225
"ENSG00000172183",15,"ISG20","protein_coding","ensembl_havana","chr15:88636153-88656483:+","15",2.00326632346817,6.61286243350162,9.79715112368831,0.00174782433063788,0.454073649869225
"ENSG00000261115",6,"TMEM178B","protein_coding","ensembl_havana","chr7:141074064-141480380:+","7",8.67072156179412,-0.0451670766009681,9.79063231952805,0.0017540313631858,0.454073649869225
"ENSG00000137875",4,"BCL2L10","protein_coding","ensembl_havana","chr15:52109263-52112775:-","15",5.95696729031137,1.0639512031931,9.76353068090262,0.00178007723103107,0.454073649869225
"ENSG00000236289",4,"GACAT3","lncRNA","havana","chr2:16013928-16087201:+","2",-8.71358604514756,-0.177702255147289,9.76312977285711,0.00178046544899534,0.454073649869225
"ENSG00000240057",6,"AC078785.1","lncRNA","havana","chr3:113019468-113184377:+","3",-8.92313634426615,1.02977028851569,9.75932995794978,0.00178414925019712,0.454073649869225
"ENSG00000256420",1,"OSBPL9P4","processed_pseudogene","havana","chr12:66563967-66569194:-","12",-8.52076235208033,-0.380502571656694,9.75704198212858,0.00178637109551365,0.454073649869225
"ENSG00000198642",7,"KLHL9","protein_coding","havana","chr9:21329665-21335404:-","9",-1.49310722217247,5.42192523736577,9.75242606787292,0.00179086213239878,0.454073649869225
"ENSG00000008277",14,"ADAM22","protein_coding","ensembl_havana","chr7:87934143-88202889:+","7",8.05359825947791,0.34454752789731,9.7474202260872,0.00179574548201596,0.454073649869225
"ENSG00000160932",11,"LY6E","protein_coding","ensembl_havana","chr8:143017982-143023832:+","8",1.31717066641633,6.6152998846778,9.72640503279563,0.00181639412792227,0.454073649869225
"ENSG00000181234",9,"TMEM132C","protein_coding","ensembl_havana","chr12:128267403-128707915:+","12",8.42817827472062,-0.353183405850476,9.67382676373719,0.00186911589618634,0.456332312603091
"ENSG00000143603",19,"KCNN3","protein_coding","ensembl_havana","chr1:154697455-154870281:-","1",7.17276469465809,0.271235646987404,9.64145425524405,0.00190234562416192,0.456332312603091
"ENSG00000151914",20,"DST","protein_coding","ensembl_havana","chr6:56457987-56954649:-","6",-1.19667693184591,6.65740832129575,9.61675495068565,0.00192810122962978,0.456332312603091
"ENSG00000283757",1,"AL031686.1","lncRNA","havana","chr20:46455033-46496731:-","20",-7.65664238633932,-0.969422173287578,9.61032800185213,0.00193486080524365,0.456332312603091
"ENSG00000196376",11,"SLC35F1","protein_coding","ensembl_havana","chr6:117907264-118317676:+","6",-6.86896286382149,0.666536124557955,9.59558411726071,0.00195045867625849,0.456332312603091
"ENSG00000163497",3,"FEV","protein_coding","ensembl_havana","chr2:218981087-218985184:-","2",5.01946004358818,1.62095451734959,9.45059860132212,0.00211080200775463,0.48673917448258
"ENSG00000169372",13,"CRADD","protein_coding","ensembl_havana","chr12:93677375-93894840:+","12",-1.9120402672992,4.60873636613006,9.42974480159839,0.00213493996583463,0.48673917448258
"ENSG00000160325",14,"CACFD1","protein_coding","ensembl_havana","chr9:133459965-133470848:+","9",1.40959895620554,6.86038183242163,9.38563199432423,0.00218692647953974,0.48673917448258
"ENSG00000136114",17,"THSD1","protein_coding","ensembl_havana","chr13:52377167-52416373:-","13",-7.02706835804149,-1.35214837560136,9.37379128229224,0.00220109796675745,0.48673917448258
"ENSG00000170390",16,"DCLK2","protein_coding","ensembl_havana","chr4:150078445-150257438:+","4",-8.24659113458388,-0.623424405061024,9.34346160471671,0.00223782425895281,0.48673917448258
"ENSG00000286943",1,"AP001992.2","lncRNA","havana_tagene","chr11:74931724-74936937:+","11",-7.33146634239944,-0.285449145248906,9.34130724943254,0.00224045649934444,0.48673917448258
