gene_id	gene_version	gene_name	gene_biotype	gene_source	location	S_2_Rem_5dpi_S70001	S_2_SARS_5dpi_S70003	S_2_mock_5dpi_S70002	S_3_Rem_5dpi_S69995	S_3_SARS_5dpi_S69996	S_3_mock_5dpi_S69997
ENSG00000223972	5	DDX11L1	transcribed_unprocessed_pseudogene	havana	chr1:11869-14409:+	9	1	7	0	0	0
ENSG00000227232	5	WASH7P	unprocessed_pseudogene	havana	chr1:14404-29570:-	66	38	59	81	25	80
ENSG00000278267	1	MIR6859-1	miRNA	mirbase	chr1:17369-17436:-	0	0	0	0	0	0
ENSG00000243485	5	MIR1302-2HG	lncRNA	havana	chr1:29554-31109:+	6	0	3	0	0	10
ENSG00000284332	1	MIR1302-2	miRNA	mirbase	chr1:30366-30503:+	0	0	0	0	0	0
ENSG00000237613	2	FAM138A	lncRNA	havana	chr1:34554-36081:-	0	0	0	0	0	0
ENSG00000268020	3	OR4G4P	unprocessed_pseudogene	havana	chr1:52473-53312:+	0	0	0	0	0	0
ENSG00000240361	2	OR4G11P	transcribed_unprocessed_pseudogene	havana	chr1:57598-64116:+	0	0	0	0	31	0
ENSG00000186092	6	OR4F5	protein_coding	ensembl_havana	chr1:65419-71585:+	0	0	0	0	0	0
ENSG00000238009	6	AL627309.1	lncRNA	ensembl_havana	chr1:89295-133723:-	2	5	8	14	0	0
ENSG00000239945	1	AL627309.3	lncRNA	havana	chr1:89551-91105:-	0	0	0	0	0	0
ENSG00000233750	3	CICP27	processed_pseudogene	havana	chr1:131025-134836:+	1	3	9	7	0	3
ENSG00000268903	1	AL627309.6	processed_pseudogene	havana	chr1:135141-135895:-	3	1	2	0	0	0
ENSG00000269981	1	AL627309.7	processed_pseudogene	havana	chr1:137682-137965:-	6	4	3	2	0	0
ENSG00000239906	1	AL627309.2	lncRNA	havana	chr1:139790-140339:-	1	0	2	0	0	5
ENSG00000241860	7	AL627309.5	lncRNA	havana	chr1:141474-173862:-	3	2	4	8	0	2
ENSG00000222623	1	RNU6-1100P	snRNA	ensembl	chr1:157784-157887:-	0	0	0	0	0	0
ENSG00000241599	1	AL627309.4	lncRNA	havana	chr1:160446-161525:+	0	0	0	0	0	0
ENSG00000279928	2	FO538757.1	unprocessed_pseudogene	havana	chr1:182696-184174:+	6	2	1	0	0	0
ENSG00000279457	4	WASH9P	unprocessed_pseudogene	havana	chr1:185217-195411:-	32	28	28	65	51	57
ENSG00000273874	1	MIR6859-2	miRNA	mirbase	chr1:187891-187958:-	0	1	1	1	0	0
ENSG00000228463	10	AP006222.1	transcribed_processed_pseudogene	havana	chr1:257864-359681:-	35	80	56	79	92	65
ENSG00000286448	1	AP006222.2	lncRNA	havana_tagene	chr1:266855-268655:+	0	0	2	0	0	0
ENSG00000236679	2	RPL23AP24	processed_pseudogene	havana	chr1:347982-348366:-	0	0	0	1	0	0
ENSG00000236601	2	AL732372.1	lncRNA	havana	chr1:358857-366052:+	0	0	0	0	0	0
ENSG00000237094	12	AL732372.2	transcribed_unprocessed_pseudogene	havana	chr1:365389-522928:-	5	0	15	17	5	7
ENSG00000269732	1	WBP1LP7	processed_pseudogene	havana	chr1:439870-440232:+	0	0	0	0	0	0
ENSG00000284733	1	OR4F29	protein_coding	ensembl_havana	chr1:450703-451697:-	0	0	0	0	0	0
ENSG00000233653	3	CICP7	processed_pseudogene	havana	chr1:487101-489906:+	2	2	2	1	0	0
ENSG00000250575	1	AL732372.3	unprocessed_pseudogene	havana	chr1:491225-493241:-	4	6	11	2	23	0
ENSG00000278757	1	FO681485.1	snRNA	ensembl	chr1:516376-516479:-	0	0	0	0	0	0
ENSG00000230021	10	AL669831.3	transcribed_processed_pseudogene	havana	chr1:586071-827796:-	2	6	10	4	19	2
ENSG00000235146	2	AC114498.1	lncRNA	havana	chr1:587629-594768:+	0	0	1	0	0	0
ENSG00000225972	1	MTND1P23	unprocessed_pseudogene	havana	chr1:629062-629433:+	1312	1659	1235	857	1515	1022
ENSG00000225630	1	MTND2P28	unprocessed_pseudogene	havana	chr1:629640-630683:+	5788	6115	6461	3460	5743	5260
ENSG00000237973	1	MTCO1P12	unprocessed_pseudogene	havana	chr1:631074-632616:+	10056	11869	9227	7317	10503	8116
ENSG00000278791	1	AC114498.2	miRNA	mirbase	chr1:632325-632413:-	0	0	0	0	0	0
ENSG00000229344	1	MTCO2P12	unprocessed_pseudogene	havana	chr1:632757-633438:+	4624	7179	4034	3430	4957	3773
ENSG00000240409	1	MTATP8P1	unprocessed_pseudogene	havana	chr1:633535-633741:+	38	43	38	24	24	13
ENSG00000248527	1	MTATP6P1	unprocessed_pseudogene	havana	chr1:633696-634376:+	7024	10245	5526	4297	6303	4980
ENSG00000198744	5	MTCO3P12	unprocessed_pseudogene	havana	chr1:634376-634922:+	5918	9243	4277	3496	4283	3969
ENSG00000268663	1	WBP1LP6	processed_pseudogene	havana	chr1:674842-675265:+	0	0	0	0	0	0
ENSG00000284662	1	OR4F16	protein_coding	ensembl_havana	chr1:685679-686673:-	0	0	0	0	0	0
ENSG00000229376	3	CICP3	processed_pseudogene	havana	chr1:722092-724903:+	3	3	4	2	0	1
ENSG00000228327	3	AL669831.1	transcribed_unprocessed_pseudogene	havana	chr1:725885-778626:-	40	28	91	91	52	47
ENSG00000223181	1	RNU6-1199P	snRNA	ensembl	chr1:758233-758336:-	1	0	0	0	0	0
ENSG00000229905	1	AL669831.2	lncRNA	havana	chr1:760911-761989:+	0	1	0	0	0	0
ENSG00000237491	10	LINC01409	lncRNA	havana	chr1:778747-810065:+	4	7	39	39	1	0
ENSG00000285268	1	AL669831.6	transcribed_processed_pseudogene	havana	chr1:781937-782050:+	0	0	0	0	0	0
ENSG00000230092	7	AL669831.4	transcribed_unprocessed_pseudogene	havana	chr1:800879-817712:-	0	2	3	0	0	8
ENSG00000177757	2	FAM87B	lncRNA	havana	chr1:817371-819837:+	0	7	5	0	0	12
ENSG00000228794	10	LINC01128	lncRNA	havana	chr1:825138-859446:+	54	114	92	290	123	120
ENSG00000225880	5	LINC00115	lncRNA	havana	chr1:826206-827522:-	23	2	19	1	1	2
ENSG00000288531	1	AL669831.7	lncRNA	havana_tagene	chr1:860226-868202:+	13	0	2	1	0	54
ENSG00000230368	2	FAM41C	lncRNA	havana	chr1:868071-876903:-	2	1	0	5	0	1
ENSG00000234711	1	TUBB8P11	unprocessed_pseudogene	havana	chr1:873292-874349:+	3	0	5	2	4	0
ENSG00000283040	1	AL669831.5	transcribed_unprocessed_pseudogene	havana	chr1:874529-877234:-	6	0	0	0	0	0
ENSG00000272438	1	AL645608.6	lncRNA	havana	chr1:904834-915976:+	0	1	0	0	0	5
ENSG00000230699	2	AL645608.2	lncRNA	havana	chr1:911435-914948:+	0	2	0	0	0	0
ENSG00000241180	1	AL645608.4	lncRNA	havana	chr1:914171-914971:+	0	0	0	0	0	0
ENSG00000223764	2	LINC02593	lncRNA	havana	chr1:916865-921016:-	21	1	3	28	74	0
ENSG00000187634	12	SAMD11	protein_coding	ensembl_havana	chr1:923928-944581:+	21	54	39	81	91	78
ENSG00000188976	11	NOC2L	protein_coding	ensembl_havana	chr1:944203-959309:-	1096	868	1201	1729	1741	1507
ENSG00000187961	14	KLHL17	protein_coding	ensembl_havana	chr1:960584-965719:+	16	3	3	1	0	405
